datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 11:08:02:968,7,1,86.0,259.0,173.0,18.86,26.84,100250.66,96.06,5.64,-6.24,-5.25,0.0,0.0,0.0,26.55,29.48,-28.35,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:095,1,0,645.0,1850.0,1205.0,128.09,27.53,100288.61,92.88,3.32,-6.58,-6.28,0.0,0.0,-0.0,14.67,15.02,-7.26,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:222,7,1,86.0,259.0,173.0,18.86,26.84,100253.02,95.86,5.62,-6.24,-5.24,0.0,0.0,-0.0,27.53,29.73,-28.1,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:348,1,0,646.0,1851.0,1205.0,128.02,27.53,100290.16,92.75,3.33,-6.58,-6.28,0.0,0.0,-0.0,14.32,15.41,-13.42,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:475,7,1,86.0,259.0,173.0,18.86,26.84,100253.19,95.85,5.67,-6.29,-5.21,-0.01,-0.01,0.0,27.53,29.4,-28.6,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:602,1,0,645.0,1850.0,1205.0,128.09,27.53,100288.78,92.7,3.32,-6.59,-6.26,0.0,0.0,0.0,14.84,15.89,-5.72,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:729,7,1,86.0,259.0,173.0,18.86,26.84,100251.0,96.03,5.61,-6.23,-5.23,0.0,0.01,-0.0,24.6,29.65,-27.85,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:855,1,0,645.0,1849.0,1204.0,127.95,27.53,100290.84,92.69,3.3,-6.59,-6.31,0.0,-0.0,-0.0,16.08,14.64,-16.5,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:03:982,7,1,86.0,259.0,173.0,18.86,26.84,100250.83,96.05,5.65,-6.3,-5.22,-0.0,-0.0,-0.0,24.6,28.82,-27.85,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:109,1,0,645.0,1849.0,1204.0,127.95,27.53,100288.27,92.9,3.34,-6.59,-6.3,0.0,-0.0,-0.0,16.08,15.22,-16.5,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:236,7,1,86.0,259.0,173.0,18.86,26.84,100250.73,96.06,5.61,-6.23,-5.26,0.01,0.02,-0.0,17.76,29.57,-27.1,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:363,1,0,645.0,1848.0,1203.0,127.81,27.53,100286.88,93.02,3.3,-6.59,-6.28,0.0,0.0,0.0,14.32,15.8,-7.26,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:489,7,1,86.0,259.0,173.0,18.86,26.84,100252.75,95.89,5.68,-6.25,-5.26,-0.01,-0.01,0.0,25.57,29.57,-25.61,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:616,1,0,645.0,1848.0,1203.0,127.81,27.53,100291.95,92.59,3.36,-6.57,-6.29,-0.0,-0.0,-0.0,14.32,15.41,-13.42,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:743,7,1,86.0,259.0,173.0,18.86,26.84,100252.85,95.88,5.64,-6.25,-5.23,0.0,0.01,-0.0,23.62,29.57,-28.1,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:870,1,0,645.0,1848.0,1203.0,127.81,27.52,100288.16,92.91,3.32,-6.57,-6.28,-0.0,0.0,-0.0,14.67,15.22,-7.26,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:04:996,7,1,86.0,258.0,172.0,18.71,26.84,100250.22,96.1,5.64,-6.23,-5.25,0.0,0.01,0.0,23.62,29.4,-28.1,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:05:123,1,0,644.0,1848.0,1204.0,128.02,27.52,100287.87,92.94,3.31,-6.59,-6.29,-0.0,-0.0,-0.0,15.2,15.31,6.6,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:05:250,7,1,86.0,259.0,173.0,18.86,26.84,100251.34,96.0,5.65,-6.25,-5.25,0.0,0.0,0.0,23.62,29.57,-28.1,29.78,ground_truth,inspection_ExFatLogger01.csv
