datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 20:27:08:007,1,1,75.0,484.0,409.0,56.41,28.07,100465.28,78.06,5.61,-5.89,5.34,0.0,-0.01,0.0,-20.35,15.94,-14.87,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:08:134,2,2,222.0,1317.0,1095.0,148.58,29.02,100421.17,81.75,6.62,-5.23,-5.13,-0.0,0.0,-0.0,-13.9,11.78,12.75,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:08:261,0,0,81.0,499.0,418.0,57.14,28.8,100421.13,81.76,-7.84,-4.39,-3.3,0.0,0.0,0.0,16.66,17.1,-13.19,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:08:387,1,1,75.0,484.0,409.0,56.41,28.07,100467.5,77.87,5.54,-5.91,5.34,-0.0,-0.0,0.0,-15.15,15.28,-15.45,30.02,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:08:514,2,2,222.0,1316.0,1094.0,148.42,29.02,100423.56,81.55,6.63,-5.21,-5.17,0.0,0.0,0.0,-13.5,11.66,10.27,30.38,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:08:641,0,0,81.0,498.0,417.0,56.99,28.8,100419.9,81.83,-7.89,-4.33,-3.39,-0.0,0.0,0.0,16.88,15.79,-13.19,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:08:768,1,1,75.0,484.0,409.0,56.41,28.08,100466.53,77.95,5.54,-5.9,5.25,0.0,-0.0,0.0,-6.24,16.03,-15.07,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:08:894,2,2,221.0,1314.0,1093.0,148.38,29.02,100421.48,81.73,6.66,-5.21,-5.09,0.0,-0.0,0.0,-14.31,11.42,8.62,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:09:021,0,0,81.0,499.0,418.0,57.14,28.8,100423.7,81.54,-7.82,-4.37,-3.29,-0.0,-0.0,0.0,16.21,16.23,-16.12,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:09:148,1,1,75.0,484.0,409.0,56.41,28.08,100462.26,78.31,5.53,-5.88,5.3,0.0,-0.0,0.0,-17.38,15.56,-16.42,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:09:274,2,2,221.0,1312.0,1091.0,148.06,29.02,100423.73,81.54,6.64,-5.22,-5.12,0.0,-0.0,-0.0,-14.45,12.76,9.44,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:09:401,0,0,81.0,499.0,418.0,57.14,28.8,100420.58,81.8,-7.87,-4.33,-3.34,-0.0,-0.0,0.0,18.0,17.1,-16.12,32.62,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:09:528,1,1,76.0,484.0,408.0,56.13,28.07,100468.19,77.81,5.47,-5.94,5.27,0.0,0.01,-0.01,-11.44,15.0,-16.42,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:09:655,2,2,221.0,1310.0,1089.0,147.74,29.02,100421.86,81.7,6.52,-5.3,-5.11,-0.01,0.0,-0.01,-14.04,11.9,11.92,30.39,missing_pressure,storage_ExFatLogger08.csv
