datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 15:11:23:492,0,0,165.0,794.0,629.0,81.32,28.69,100193.64,100.85,-0.83,-8.37,-4.93,0.0,-0.0,-0.01,18.04,4.46,50.13,29.82,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:23:618,0,0,166.0,798.0,632.0,81.69,28.69,100190.27,101.13,-0.84,-8.39,-4.94,0.0,-0.0,-0.0,17.88,4.34,49.67,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:23:745,0,0,166.0,798.0,632.0,81.69,28.69,100193.29,100.88,-0.84,-8.37,-4.94,0.0,0.0,0.01,19.0,5.16,51.96,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:23:872,0,0,165.0,793.0,628.0,81.16,28.69,100193.05,100.9,-0.82,-8.4,-4.93,0.0,-0.0,-0.01,18.2,4.34,52.42,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:23:999,0,0,165.0,797.0,632.0,81.79,28.69,100195.63,100.68,-0.82,-8.39,-4.91,-0.0,-0.0,-0.0,18.84,4.81,49.67,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:24:126,0,0,166.0,798.0,632.0,81.69,28.68,100193.4,100.87,-0.82,-8.38,-4.93,0.0,-0.0,-0.0,19.0,4.69,50.13,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:24:253,0,0,164.0,793.0,629.0,81.42,28.69,100193.55,100.86,-0.85,-8.37,-4.94,0.0,0.0,0.0,18.84,5.51,48.75,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:24:380,0,0,165.0,795.0,630.0,81.48,28.68,100195.2,100.72,-0.84,-8.37,-4.95,0.0,0.0,0.0,18.68,4.93,51.04,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:24:506,0,0,165.0,797.0,632.0,81.79,28.68,100193.91,100.83,-0.83,-8.36,-4.95,0.0,0.0,-0.0,18.52,4.58,48.75,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:24:633,0,0,165.0,795.0,630.0,81.48,28.69,100195.27,100.71,-0.84,-8.37,-4.92,0.0,0.0,0.0,19.49,4.34,51.5,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:24:760,0,0,165.0,794.0,629.0,81.32,28.68,100192.95,100.91,-0.83,-8.38,-4.91,-0.0,-0.0,0.0,18.36,4.69,51.04,29.82,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:24:887,0,0,165.0,796.0,631.0,81.63,28.68,100195.98,100.65,-0.83,-8.37,-4.92,-0.0,-0.0,0.0,18.52,4.11,51.5,29.82,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:014,0,0,165.0,794.0,629.0,81.32,28.68,100196.24,100.63,-0.82,-8.36,-4.95,0.0,0.0,0.0,19.33,4.93,47.38,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:141,0,0,164.0,791.0,627.0,81.11,28.68,100192.63,100.97,-0.85,-8.39,-4.93,-0.0,0.0,0.0,18.04,4.23,49.21,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:268,0,0,165.0,795.0,630.0,81.48,28.68,100192.03,100.99,-0.84,-8.37,-4.95,-0.0,0.0,0.0,19.33,4.69,49.21,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:394,0,0,165.0,795.0,630.0,81.48,28.68,100194.0,100.82,-0.82,-8.39,-4.92,-0.0,-0.0,-0.0,18.04,4.23,45.55,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:521,0,0,164.0,792.0,628.0,81.27,28.67,100191.63,101.02,-0.82,-8.36,-4.93,-0.0,0.0,0.0,19.33,4.46,51.04,29.82,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:648,0,0,165.0,796.0,631.0,81.63,28.67,100193.02,100.9,-0.82,-8.36,-4.94,-0.0,0.0,0.0,19.16,4.34,49.67,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:775,0,0,165.0,795.0,630.0,81.48,28.67,100193.96,100.82,-0.83,-8.36,-4.94,-0.0,0.0,0.0,19.49,4.34,50.59,29.83,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:25:902,0,0,164.0,792.0,628.0,81.27,28.67,100193.8,100.84,-0.82,-8.37,-4.95,-0.0,-0.0,0.0,18.68,4.23,47.38,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:029,0,0,165.0,795.0,630.0,81.48,28.67,100193.7,100.85,-0.83,-8.36,-4.92,-0.0,0.0,0.0,19.16,4.11,48.75,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:156,0,0,165.0,796.0,631.0,81.63,28.67,100194.66,100.77,-0.83,-8.38,-4.9,0.0,0.0,-0.0,18.2,4.11,50.59,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:282,0,0,164.0,792.0,628.0,81.27,28.67,100192.76,100.92,-0.83,-8.36,-4.94,0.0,0.0,-0.0,19.65,5.39,51.04,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:409,0,0,165.0,796.0,631.0,81.63,28.67,100194.92,100.74,-0.79,-8.45,-4.97,0.01,-0.0,-0.05,17.71,4.93,49.21,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:536,0,0,165.0,799.0,634.0,82.1,28.67,100193.54,100.86,-0.75,-8.31,-4.93,-0.01,0.01,0.02,18.04,5.39,48.3,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:663,0,0,164.0,795.0,631.0,81.74,28.67,100193.88,100.83,-0.82,-8.32,-4.92,-0.0,0.0,0.02,19.33,4.93,49.21,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:790,0,0,164.0,793.0,629.0,81.42,28.67,100192.59,100.94,-0.84,-8.41,-4.91,0.0,-0.0,-0.01,19.49,5.28,52.42,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:26:917,0,0,164.0,788.0,624.0,80.64,28.66,100195.79,100.67,-0.91,-8.34,-4.91,-0.0,0.01,0.02,19.16,5.28,46.01,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:044,0,0,165.0,800.0,635.0,82.26,28.66,100195.19,100.72,-0.79,-8.3,-4.95,-0.0,0.0,0.02,18.68,4.46,48.3,29.81,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:170,0,0,167.0,814.0,647.0,83.93,28.66,100192.27,100.97,-0.84,-8.34,-4.95,0.0,0.0,0.01,17.71,3.99,47.38,29.79,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:297,0,0,168.0,826.0,658.0,85.54,28.66,100194.25,100.8,-0.82,-8.39,-4.92,0.0,-0.0,-0.01,16.75,4.69,51.04,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:424,0,0,168.0,826.0,658.0,85.54,28.66,100193.04,100.9,-0.81,-8.28,-4.96,0.0,0.01,0.02,17.88,5.28,51.5,29.79,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:551,0,0,168.0,824.0,656.0,85.23,28.66,100193.91,100.83,-1.19,-8.4,-4.91,-0.01,0.02,0.06,18.2,3.64,50.59,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:678,0,0,169.0,828.0,659.0,85.6,28.65,100193.91,100.83,-0.71,-8.58,-4.83,-0.05,-0.02,-0.07,17.55,4.34,52.42,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:805,0,0,169.0,827.0,658.0,85.44,28.65,100192.88,100.91,-0.86,-8.45,-4.9,0.0,-0.01,-0.02,18.68,3.99,52.87,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:27:931,0,0,167.0,821.0,654.0,85.02,28.65,100190.58,101.11,-0.6,-8.35,-5.59,0.01,-0.01,-0.0,18.2,5.28,52.42,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:058,0,0,166.0,816.0,650.0,84.5,28.65,100192.66,100.93,-1.04,-7.96,-5.66,0.01,-0.0,-0.01,18.2,5.28,52.42,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:185,0,0,164.0,805.0,641.0,83.3,28.65,100194.47,100.78,-0.72,-7.41,-5.8,0.15,0.06,0.2,18.2,5.28,52.42,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:312,0,0,161.0,798.0,637.0,82.98,28.65,100196.45,100.61,-0.64,-7.81,-5.47,0.05,-0.01,-0.03,26.42,-2.08,57.45,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:439,0,0,162.0,809.0,647.0,84.45,28.65,100194.55,100.77,-0.68,-8.41,-5.42,0.1,0.01,0.12,31.73,-2.2,40.51,29.77,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:566,0,0,160.0,805.0,645.0,84.34,28.65,100195.41,100.7,-1.11,-8.52,-4.69,-0.06,-0.01,-0.07,24.8,3.06,29.07,29.79,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:693,0,0,163.0,829.0,666.0,87.32,28.65,100194.59,100.77,0.57,-11.8,-5.72,-0.51,0.05,-0.36,19.81,6.21,37.77,29.8,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:819,0,0,162.0,828.0,666.0,87.43,28.65,100193.39,100.87,-0.87,-7.86,-4.92,0.14,-0.01,0.07,16.1,7.26,51.04,29.78,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:28:946,0,0,140.0,684.0,544.0,70.61,28.65,100195.11,100.73,-0.58,-9.71,-4.69,-0.24,-0.02,-0.08,16.91,6.44,51.5,29.78,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:073,0,0,97.0,491.0,394.0,51.6,28.66,100194.52,100.78,-0.73,-9.67,-4.41,-0.25,-0.07,-0.39,16.26,7.14,51.5,29.78,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:200,0,0,142.0,766.0,624.0,82.96,28.65,100193.56,100.86,-0.96,-8.34,-4.5,0.04,-0.0,-0.01,15.78,5.86,54.71,29.78,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:327,0,0,152.0,812.0,660.0,87.55,28.65,100192.57,100.94,-0.91,-8.21,-5.06,0.02,0.01,0.04,14.49,5.86,50.13,29.77,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:454,0,0,154.0,825.0,671.0,89.07,28.66,100195.55,100.69,-0.94,-8.6,-4.76,-0.06,0.01,0.0,15.46,5.86,51.96,29.78,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:581,0,0,156.0,834.0,678.0,89.95,28.65,100193.69,100.85,-0.88,-8.34,-4.9,0.04,0.04,0.09,13.69,5.04,50.59,29.78,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:707,0,0,158.0,840.0,682.0,90.37,28.65,100193.78,100.84,-0.99,-8.16,-4.99,-0.01,0.02,0.02,13.85,5.39,49.21,29.77,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:834,0,0,157.0,823.0,666.0,87.96,28.65,100192.41,100.95,-1.15,-8.54,-4.95,-0.03,0.02,0.05,12.24,4.93,51.96,29.79,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:29:961,0,0,156.0,810.0,654.0,86.18,28.64,100193.62,100.85,-0.68,-8.17,-5.03,0.03,-0.01,-0.0,12.72,5.74,48.75,29.79,missing_parts,shuttle_ExFatLogger02.csv
